transliteration,translation,augmentation
a-dí-dá ù a-lá-ḫu-um a-šùr-iš-ta-ki-il₅ iš-ú-lu-ma 3.33333 ma-na KÙ.GI ša-lim-a-šùr a-na na-ru-qí-kà a-dí-im-ma ša 10 ma-na KÙ.BABBAR na-ru-qá-kà ú-la-pí-tám ša-lim-a-šùr i-na a-lim(ki) a-na li-mì-im ḫa-bu-ul-ma ṭup-pá-am ša ší-ip-kà-tim ša-lim-a-šùr ad-ma-ku-ni ṭup-pá-am šu-wa-tí qá-tí li-mì-im ú-kà-al-ma KÙ.BABBAR ù né-ma-al-šu dí-in-ma a-ṣé-er li-mì-im li-li-ik-ma ù ṭup-pá-am ša ší-ip-kà-tí-kà a-na ša ki-ma ku-wa-tí li-dí-nu iš-tù x 3 ša-na-tim iš-tù bu-ru-uš-ḫa-dim lu ta-li-kam ù a-na iš-té-en ù ší-na tap-pá-e-a KÙ.BABBAR ù né-ma-al-šu ta-dí-in a-na-ku ù ša qá-ta-at a-bi-a-a na-al-pu-tù ni-ta-na-lá-kà-ku-um KÙ.BABBAR ù né-ma-al-šu ta-dá-na-am ú-lá ta-mu-a a-ṣé-er ki-a-am-ma KÙ.BABBAR 1 ma-na ù 2 ma-na tù-uš-ta-ag-me-er-šu KÙ.BABBAR ša li-mì-im a-na ṣí-ib-tim lá i-ma-id-ma É a-bi-a ù ší-ip-kà-tim ša a-bi ad-ma-ku-ni lá i-ta-ba-lá ší-ma-at KÙ.BABBAR dí-na-ma a-na É li-mì-im,"Adida and Ali-ahum questioned Aššuriš-takil as follows: Šalim-Aššur invested 3.3333 minas of gold in your joint-stock capital, and he wrote an amount of 10 minas of silver for your joint-stock capital. Šalim-Aššur is indebted to the eponym in the City, and the tablet of the investment Šalim-Aššur made to you, that very tablet is in the eponym's possession, so pay the silver and the accrued profit, let it go to the eponym and then he can give the tablet concerning your capital to your representatives. Three years ago you came from Burušhaddum and you have given the silver and the accrued profit to one or two of my partners. But I and those who signed as my father's guarantors come to you time and again, but you refuse to give the silver and its accrued profit. On top of this you have caused him to have expenses of one or two minas. The interest on the silver of the eponym must not increase and my father's house and the investments my father made for you must not be lost. Give me the agreed amount in silver, let me send it to the eponym's office, and then I shall confirm you for the profit of the silver together with my partners. Also, in accordance with the verdict of the City Šalim-Aššur's silver from your capital will go to the office of the eponym. Do not obstruct me! Give me the silver and do not bring an extra expense of 1 or 2 minas on me."" Witnessed statement.""",lexicon_variant
a-na iš-ma-a-šùr DUMU ḫi-na-a a-ta-a-a DUMU bu-ṣí-a ù en-nam-a-šùr DUMU e-lá-ma DUB a-ku-ú-a DUMU a-šùr-i-dí,"To Išme-Aššur, son of hinnāya, Ataya, son of Buṣiya, and Ennam-Aššur, son of Elamma, tablet of Akūa, son of Aššur-idī.",none
an-na iš-ma-a-šùr DUMU ḫi-na-a a-ta-a-a DUMU bu-ṣí-a ù en-nam-a-šùr DUMU e-lá-ma DUB a-ku-ú-a DUMU a-šùr-i-dí,"To Išme-Aššur, son of hinnāya, Ataya, son of Buṣiya, and Ennam-Aššur, son of Elamma, tablet of Akūa, son of Aššur-idī.",lexicon_variant
a-na iš-me-a-šùr DUMU ḫi-na-a a-ta-a-a DUMU bu-ṣí-a ù en-nam-a-šùr DUMU e-lá-ma DUB a-ku-ú-a DUMU a-šùr-i-dí,"To Išme-Aššur, son of hinnāya, Ataya, son of Buṣiya, and Ennam-Aššur, son of Elamma, tablet of Akūa, son of Aššur-idī.",lexicon_variant
um-ma kà-ru-um a-na ú-bar-tim ša ku-bu-ur-na-at qí-bi-ma a-na-kam me-er-ú ša-lim-a-šùr im-ḫu-ru-ni-a-tí-ma um-ma šu-nu-ma a-šùr-iš-tí-kál DUMU a-šur-SIPA KÙ.BABBAR a-na a-bi-ni ḫa-bu-ul ù a-we-lam e-mu-qí-in e-ta-ú ma-ṣa-ni a-na ša-sú-ḫi-šu a-ma-kam a-we-lam iš-tí šé-ep-IŠTAR ší-ip-ri-ni li-sú-ḫa-am ú a-tù-nu lu e-mu-uq ší-ip-ri-ni,"From the Kanesh colony to the trading station Kuburnat: Here the sons of Šalim-Aššur confronted us and said: Aššuriš--tikal son of Aššur-rē'ī owes silver to our father, and he has spoken harshly to the man. We take responsibility for his forced transfer."" Extradite the man there together with Šēp-Ištar, our messenger, and you must be the executive arm for our messenger.""",none
ú-ma kà-ru-um a-na ú-bar-tim ša ku-bu-ur-na-at qí-bi-ma a-na-kam me-er-ú ša-lim-a-šùr im-ḫu-ru-ni-a-tí-ma um-ma šu-nu-ma a-šùr-iš-tí-kál DUMU a-šur-SIPA KÙ.BABBAR a-na a-bi-ni ḫa-bu-ul ù a-we-lam e-mu-qí-in e-ta-ú ma-ṣa-ni a-na ša-sú-ḫi-šu a-ma-kam a-we-lam iš-tí šé-ep-IŠTAR ší-ip-ri-ni li-sú-ḫa-am ú a-tù-nu lu e-mu-uq ší-ip-ri-ni,"From the Kanesh colony to the trading station Kuburnat: Here the sons of Šalim-Aššur confronted us and said: Aššuriš--tikal son of Aššur-rē'ī owes silver to our father, and he has spoken harshly to the man. We take responsibility for his forced transfer."" Extradite the man there together with Šēp-Ištar, our messenger, and you must be the executive arm for our messenger.""",lexicon_variant
u₄-ma kà-ru-um a-na ú-bar-tim ša ku-bu-ur-na-at qí-bi-ma a-na-kam me-er-ú ša-lim-a-šùr im-ḫu-ru-ni-a-tí-ma um-ma šu-nu-ma a-šùr-iš-tí-kál DUMU a-šur-SIPA KÙ.BABBAR a-na a-bi-ni ḫa-bu-ul ù a-we-lam e-mu-qí-in e-ta-ú ma-ṣa-ni a-na ša-sú-ḫi-šu a-ma-kam a-we-lam iš-tí šé-ep-IŠTAR ší-ip-ri-ni li-sú-ḫa-am ú a-tù-nu lu e-mu-uq ší-ip-ri-ni,"From the Kanesh colony to the trading station Kuburnat: Here the sons of Šalim-Aššur confronted us and said: Aššuriš--tikal son of Aššur-rē'ī owes silver to our father, and he has spoken harshly to the man. We take responsibility for his forced transfer."" Extradite the man there together with Šēp-Ištar, our messenger, and you must be the executive arm for our messenger.""",lexicon_variant
a-na lu-zi-na DUMU a-šùr-ba-ni a-dí-da DUMU wa-ar-dí-i-li-šu ù a-lá-ḫi-im DUMU šál-ma-a-šùr,"To Luzina son of Aššur-bāni, Adida son of Warad-ilišu and Ali-ahum son of Šalim-Aššur;",none
an-na lu-zi-na DUMU a-šùr-ba-ni a-dí-da DUMU wa-ar-dí-i-li-šu ù a-lá-ḫi-im DUMU šál-ma-a-šùr,"To Luzina son of Aššur-bāni, Adida son of Warad-ilišu and Ali-ahum son of Šalim-Aššur;",lexicon_variant
a-na lú-zi-na DUMU a-šùr-ba-ni a-dí-da DUMU wa-ar-dí-i-li-šu ù a-lá-ḫi-im DUMU šál-ma-a-šùr,"To Luzina son of Aššur-bāni, Adida son of Warad-ilišu and Ali-ahum son of Šalim-Aššur;",lexicon_variant
KIŠIB en-na-sú-in DUMU i-dí-a-bi-im,seal of Enna-Suen son of Iddin-abum.,none
ku-nu-ku-šu en-na-sú-in DUMU i-dí-a-bi-im,seal of Enna-Suen son of Iddin-abum.,lexicon_variant
ku-nu-ki en-na-sú-in DUMU i-dí-a-bi-im,seal of Enna-Suen son of Iddin-abum.,lexicon_variant
um-ma ma-ma-ḫi-ir šu-ku-tum ú i-ku-pì-a-ma a-na a-la-ḫi-im qí-bi-ma i-na 24 pí-ri-kà-ni ša ḫa-nu ub-lá-ni iš-té-en ḫa-nu a-na li-tab-ší-šu il₅-qé iš-té-en a-na ú-ku-ul-tí-šu šu-ut-ma il₅-qé ší-tí ṣú-ba-tí-kà 22 TÚG 4.83334 GÍN.TA ta-ad-nu KÙ.BABBAR-áp-šu-nu 1.66666 ma-na 6.66666 GÍN ŠÀ.BA 5 GÍN KÙ e-ri-ib-tum ša AN.NA i-na wa-aḫ-šu-ša-na PUZUR₄-a-be-eḫ il₅-qé 0.5 ma-na 4.5 GÍN KÙ.BABBAR a-na am-tim ni-iš-qú-ul ì-lí-áš-ra-ni ir-dí-a-kum 4 ma-na a qá-tí-šu ni-dí-in ší-tí KÙ.BABBAR-pì-kà 1 ma-na 6 GÍN KÙ.BABBAR ku-nu-ki-ni ḫa-nu na-áš-a-kum,"From Man-mahir, Šukkutum and Ikūn-pīya to Ali-ahum: Of the 24  that hanu brought, hanu has taken one for his clothes (and) he has also taken one (to pay) for his food. The rest of your textiles, 22 pieces, were sold for 4.83333 shekels each. Their value in silver was 1.6666 mina 6.6666 shekels. Thereof Puzur-Abeh has taken 5 shekels of silver, entrance tax for the tin, in Wahšušana; we paid 0.5 mina 4.5 shekels of silver to the maid. Ilī-ašrannī led it to you. We gave 4 minas for his expenses. hanu brings you the rest of you silver, 1 mina 6 shekels of silver under our seals.",none
ú-ma ma-ma-ḫi-ir šu-ku-tum ú i-ku-pì-a-ma a-na a-la-ḫi-im qí-bi-ma i-na 24 pí-ri-kà-ni ša ḫa-nu ub-lá-ni iš-té-en ḫa-nu a-na li-tab-ší-šu il₅-qé iš-té-en a-na ú-ku-ul-tí-šu šu-ut-ma il₅-qé ší-tí ṣú-ba-tí-kà 22 TÚG 4.83334 GÍN.TA ta-ad-nu KÙ.BABBAR-áp-šu-nu 1.66666 ma-na 6.66666 GÍN ŠÀ.BA 5 GÍN KÙ e-ri-ib-tum ša AN.NA i-na wa-aḫ-šu-ša-na PUZUR₄-a-be-eḫ il₅-qé 0.5 ma-na 4.5 GÍN KÙ.BABBAR a-na am-tim ni-iš-qú-ul ì-lí-áš-ra-ni ir-dí-a-kum 4 ma-na a qá-tí-šu ni-dí-in ší-tí KÙ.BABBAR-pì-kà 1 ma-na 6 GÍN KÙ.BABBAR ku-nu-ki-ni ḫa-nu na-áš-a-kum,"From Man-mahir, Šukkutum and Ikūn-pīya to Ali-ahum: Of the 24  that hanu brought, hanu has taken one for his clothes (and) he has also taken one (to pay) for his food. The rest of your textiles, 22 pieces, were sold for 4.83333 shekels each. Their value in silver was 1.6666 mina 6.6666 shekels. Thereof Puzur-Abeh has taken 5 shekels of silver, entrance tax for the tin, in Wahšušana; we paid 0.5 mina 4.5 shekels of silver to the maid. Ilī-ašrannī led it to you. We gave 4 minas for his expenses. hanu brings you the rest of you silver, 1 mina 6 shekels of silver under our seals.",lexicon_variant
u₄-ma ma-ma-ḫi-ir šu-ku-tum ú i-ku-pì-a-ma a-na a-la-ḫi-im qí-bi-ma i-na 24 pí-ri-kà-ni ša ḫa-nu ub-lá-ni iš-té-en ḫa-nu a-na li-tab-ší-šu il₅-qé iš-té-en a-na ú-ku-ul-tí-šu šu-ut-ma il₅-qé ší-tí ṣú-ba-tí-kà 22 TÚG 4.83334 GÍN.TA ta-ad-nu KÙ.BABBAR-áp-šu-nu 1.66666 ma-na 6.66666 GÍN ŠÀ.BA 5 GÍN KÙ e-ri-ib-tum ša AN.NA i-na wa-aḫ-šu-ša-na PUZUR₄-a-be-eḫ il₅-qé 0.5 ma-na 4.5 GÍN KÙ.BABBAR a-na am-tim ni-iš-qú-ul ì-lí-áš-ra-ni ir-dí-a-kum 4 ma-na a qá-tí-šu ni-dí-in ší-tí KÙ.BABBAR-pì-kà 1 ma-na 6 GÍN KÙ.BABBAR ku-nu-ki-ni ḫa-nu na-áš-a-kum,"From Man-mahir, Šukkutum and Ikūn-pīya to Ali-ahum: Of the 24  that hanu brought, hanu has taken one for his clothes (and) he has also taken one (to pay) for his food. The rest of your textiles, 22 pieces, were sold for 4.83333 shekels each. Their value in silver was 1.6666 mina 6.6666 shekels. Thereof Puzur-Abeh has taken 5 shekels of silver, entrance tax for the tin, in Wahšušana; we paid 0.5 mina 4.5 shekels of silver to the maid. Ilī-ašrannī led it to you. We gave 4 minas for his expenses. hanu brings you the rest of you silver, 1 mina 6 shekels of silver under our seals.",lexicon_variant
2 GÍN KÙ.BABBAR i-nu-mì ma-nu-ba-al-ma-a-šur a-ša-sú e-ḫu-zu a-dí-in,I gave 2 shekels of silver when Mannum-balum-Aššur married his wife.,none
2 GÍN.TA KÙ.BABBAR i-nu-mì ma-nu-ba-al-ma-a-šur a-ša-sú e-ḫu-zu a-dí-in,I gave 2 shekels of silver when Mannum-balum-Aššur married his wife.,lexicon_variant
2 GÌN.TA KÙ.BABBAR i-nu-mì ma-nu-ba-al-ma-a-šur a-ša-sú e-ḫu-zu a-dí-in,I gave 2 shekels of silver when Mannum-balum-Aššur married his wife.,lexicon_variant
a-na ša ki-ma i-a-tí qí-bi-ma um-ma MAN-a-šur-ma a ma-lá tí-ir-tim ša zu-ku-a a-ḫi-iṭ-ma iš-tù 3 ITU.KAM ší-mì ga-me-er URUDU lá-mu-num 20 GÚ i-ba-ší-ma um-ma a-na-ku-ma 10 GÍN-šu lá-ak-bu-ús-ma ḫa-ra-ni lá-ta-lá-ak URUDU lá-ma-dam ú-kà-in a-na 30 ma-na URUDU TA ú-kà-in a-na 1 GÚ 30 ma-na URUDU a-na ar-nim kà-ru-um i-dí-ni i-šé-pá-tí-šu-nu mì-ta-qú-tim ù ip-ra-am a-qá-qá-dí-a ší-ta-pu-ki-im 45 ma-na URUDU SIG₅ i-ṣé-ri-a il₅-qé-ú-ma ša pì-lá-tim e-pu-uš-ma i ša-am-ší x ša ṭup-pu-um lá-pu-ta-ku-ni ḫa-ra-ni a-ta-lá-ak ki-ma ú-ku-ul-tí e-ma-ri da-na-at-ni ù we-da-ku-ni-ma ma-ma-an iš-tí-a lá-šu-ú e-ma-ri a ší-mì-im … a-tí-dí-in … ma-lá … áš-pu-ra-kum um-ma a-na-ku-ma 13 ma-na AN.NA ša a-na en-um-a-šur DUMU na-ra-am-ZU a-dí-nu ša-áš-qí-il₅,"To my representatives from Puzur-Aššur: In accordance with the message from Zukua I have checked and my purchases were concluded 3 months ago. About 20 talents of poor copper are here, so I said: Let me remit 10 shekels on it and then leave on a journey."" I confirmed being aware of the copper. I confirmed for 30 minas of copper each. The colony imposed a penalty on me of 1 talent 30 minas of copper. By constantly falling at their feet and constantly pouring dust on my head (I achieved that) they have taken (only) 45 minas of good copper on my account and I have made ... and on the very day the letter is written to you I shall leave on a journey. Since fodder for the donkeys is hard to acquire and I am alone with no one staying with me, I have offered the donkeys for sale ... I wrote you, saying: ""Have the 13 minas of tin that I gave to Ennam-Aššur son of Narām-Sīn paid.""""",none
an-na ša ki-ma i-a-tí qí-bi-ma um-ma MAN-a-šur-ma a ma-lá tí-ir-tim ša zu-ku-a a-ḫi-iṭ-ma iš-tù 3 ITU.KAM ší-mì ga-me-er URUDU lá-mu-num 20 GÚ i-ba-ší-ma um-ma a-na-ku-ma 10 GÍN-šu lá-ak-bu-ús-ma ḫa-ra-ni lá-ta-lá-ak URUDU lá-ma-dam ú-kà-in a-na 30 ma-na URUDU TA ú-kà-in a-na 1 GÚ 30 ma-na URUDU a-na ar-nim kà-ru-um i-dí-ni i-šé-pá-tí-šu-nu mì-ta-qú-tim ù ip-ra-am a-qá-qá-dí-a ší-ta-pu-ki-im 45 ma-na URUDU SIG₅ i-ṣé-ri-a il₅-qé-ú-ma ša pì-lá-tim e-pu-uš-ma i ša-am-ší x ša ṭup-pu-um lá-pu-ta-ku-ni ḫa-ra-ni a-ta-lá-ak ki-ma ú-ku-ul-tí e-ma-ri da-na-at-ni ù we-da-ku-ni-ma ma-ma-an iš-tí-a lá-šu-ú e-ma-ri a ší-mì-im … a-tí-dí-in … ma-lá … áš-pu-ra-kum um-ma a-na-ku-ma 13 ma-na AN.NA ša a-na en-um-a-šur DUMU na-ra-am-ZU a-dí-nu ša-áš-qí-il₅,"To my representatives from Puzur-Aššur: In accordance with the message from Zukua I have checked and my purchases were concluded 3 months ago. About 20 talents of poor copper are here, so I said: Let me remit 10 shekels on it and then leave on a journey."" I confirmed being aware of the copper. I confirmed for 30 minas of copper each. The colony imposed a penalty on me of 1 talent 30 minas of copper. By constantly falling at their feet and constantly pouring dust on my head (I achieved that) they have taken (only) 45 minas of good copper on my account and I have made ... and on the very day the letter is written to you I shall leave on a journey. Since fodder for the donkeys is hard to acquire and I am alone with no one staying with me, I have offered the donkeys for sale ... I wrote you, saying: ""Have the 13 minas of tin that I gave to Ennam-Aššur son of Narām-Sīn paid.""""",lexicon_variant
a-na ša-a ki-ma i-a-tí qí-bi-ma um-ma MAN-a-šur-ma a ma-lá tí-ir-tim ša zu-ku-a a-ḫi-iṭ-ma iš-tù 3 ITU.KAM ší-mì ga-me-er URUDU lá-mu-num 20 GÚ i-ba-ší-ma um-ma a-na-ku-ma 10 GÍN-šu lá-ak-bu-ús-ma ḫa-ra-ni lá-ta-lá-ak URUDU lá-ma-dam ú-kà-in a-na 30 ma-na URUDU TA ú-kà-in a-na 1 GÚ 30 ma-na URUDU a-na ar-nim kà-ru-um i-dí-ni i-šé-pá-tí-šu-nu mì-ta-qú-tim ù ip-ra-am a-qá-qá-dí-a ší-ta-pu-ki-im 45 ma-na URUDU SIG₅ i-ṣé-ri-a il₅-qé-ú-ma ša pì-lá-tim e-pu-uš-ma i ša-am-ší x ša ṭup-pu-um lá-pu-ta-ku-ni ḫa-ra-ni a-ta-lá-ak ki-ma ú-ku-ul-tí e-ma-ri da-na-at-ni ù we-da-ku-ni-ma ma-ma-an iš-tí-a lá-šu-ú e-ma-ri a ší-mì-im … a-tí-dí-in … ma-lá … áš-pu-ra-kum um-ma a-na-ku-ma 13 ma-na AN.NA ša a-na en-um-a-šur DUMU na-ra-am-ZU a-dí-nu ša-áš-qí-il₅,"To my representatives from Puzur-Aššur: In accordance with the message from Zukua I have checked and my purchases were concluded 3 months ago. About 20 talents of poor copper are here, so I said: Let me remit 10 shekels on it and then leave on a journey."" I confirmed being aware of the copper. I confirmed for 30 minas of copper each. The colony imposed a penalty on me of 1 talent 30 minas of copper. By constantly falling at their feet and constantly pouring dust on my head (I achieved that) they have taken (only) 45 minas of good copper on my account and I have made ... and on the very day the letter is written to you I shall leave on a journey. Since fodder for the donkeys is hard to acquire and I am alone with no one staying with me, I have offered the donkeys for sale ... I wrote you, saying: ""Have the 13 minas of tin that I gave to Ennam-Aššur son of Narām-Sīn paid.""""",lexicon_variant
um-ma a-lu-lá-a ú a-mur-IŠTAR-ma a-na en-um-a-šur qí-bi₄-ma na-áš-pé-er-tám ta-áš-pu-ra-ni-a-tí ki-ma a-we-lu ma-du-tum lá-pu-tù-ni na-áš-pè-er-tám lá nu-ša-áš-me-ma ni-ip-nu-šu-ma um-ma né-nu-ma i li-bi-kà-ma x ra ší um i-ba-ší ú na-áš-pé-er-tí-kà a-ṣé-er a-we-lim li-li-ik na-áš-pè-er-tám x x x lá i-mu-a um-ma né-nu-ma na-áš-pé-er-tám x li-tám IGI be x x a-mur ma lá i-li-bi₄-x i-ba ma kà i x na-áš-pé-er-tí-ni za-ku-tum a-ṣé-er en-um-a-šur li-li-ik 16.83333 ma-na NA₄.ZA.GÌN 20 GÚ 50 ma-na URUDU ma-sí-am 30 GÚ URUDU lá-mu-nam mì-ma a-nim IGI a-lu-lá-a ú ar-ší-aḫ ú-kà-in a-dí a-ni-tim a-mur-IŠTAR KÙ.BABBAR-ma ri-iš tí-ir-tí-ku-nu ú-kà-al um-ma né-nu-ma ma-ma-an i-na um-me-a-ni-ku-nu lu tí x tám i-na ša-am-ší ša ṭup-pì-ni ta-ša-me-ú qá-qá-dí-kà ki-a-ma x x a-ma a-tal-kam i-x-x lá ša ša-lá-at ṭup-x x x-ma en-um-a-šur li-li-kam-ma iš-tí a x a ú a lá ša ša ki ú 2.5 ma-na.TA x x-šu-ni ki-am x,"From Alulaya and Amur-Ištar to Ennam-Aššur: You have sent us a missive. Since many men were noted down, we have not let anyone hear the missive, but we confronted him and said: ... is in your possession and let your missive go to the man."" He refused to ... the missive. We then said: ""The missive ... witnessed by... Our final missive shall go to Ennam-Aššur."" 16.83333 minas of lapis lazuli, 20 talents 50 minas of washed copper and 30 talents of bad copper - all this he confirmed with Alulaya and Arši-ah as witnesses. Concerning this Amur-Ištar keeps the silver in accordance with your instructions. We said: ""Who among your investors ...?"" The very day you hear our letter ... your head in this way and come... Ennam-Aššur should come and with...""",none
ú-ma a-lu-lá-a ú a-mur-IŠTAR-ma a-na en-um-a-šur qí-bi₄-ma na-áš-pé-er-tám ta-áš-pu-ra-ni-a-tí ki-ma a-we-lu ma-du-tum lá-pu-tù-ni na-áš-pè-er-tám lá nu-ša-áš-me-ma ni-ip-nu-šu-ma um-ma né-nu-ma i li-bi-kà-ma x ra ší um i-ba-ší ú na-áš-pé-er-tí-kà a-ṣé-er a-we-lim li-li-ik na-áš-pè-er-tám x x x lá i-mu-a um-ma né-nu-ma na-áš-pé-er-tám x li-tám IGI be x x a-mur ma lá i-li-bi₄-x i-ba ma kà i x na-áš-pé-er-tí-ni za-ku-tum a-ṣé-er en-um-a-šur li-li-ik 16.83333 ma-na NA₄.ZA.GÌN 20 GÚ 50 ma-na URUDU ma-sí-am 30 GÚ URUDU lá-mu-nam mì-ma a-nim IGI a-lu-lá-a ú ar-ší-aḫ ú-kà-in a-dí a-ni-tim a-mur-IŠTAR KÙ.BABBAR-ma ri-iš tí-ir-tí-ku-nu ú-kà-al um-ma né-nu-ma ma-ma-an i-na um-me-a-ni-ku-nu lu tí x tám i-na ša-am-ší ša ṭup-pì-ni ta-ša-me-ú qá-qá-dí-kà ki-a-ma x x a-ma a-tal-kam i-x-x lá ša ša-lá-at ṭup-x x x-ma en-um-a-šur li-li-kam-ma iš-tí a x a ú a lá ša ša ki ú 2.5 ma-na.TA x x-šu-ni ki-am x,"From Alulaya and Amur-Ištar to Ennam-Aššur: You have sent us a missive. Since many men were noted down, we have not let anyone hear the missive, but we confronted him and said: ... is in your possession and let your missive go to the man."" He refused to ... the missive. We then said: ""The missive ... witnessed by... Our final missive shall go to Ennam-Aššur."" 16.83333 minas of lapis lazuli, 20 talents 50 minas of washed copper and 30 talents of bad copper - all this he confirmed with Alulaya and Arši-ah as witnesses. Concerning this Amur-Ištar keeps the silver in accordance with your instructions. We said: ""Who among your investors ...?"" The very day you hear our letter ... your head in this way and come... Ennam-Aššur should come and with...""",lexicon_variant
u₄-ma a-lu-lá-a ú a-mur-IŠTAR-ma a-na en-um-a-šur qí-bi₄-ma na-áš-pé-er-tám ta-áš-pu-ra-ni-a-tí ki-ma a-we-lu ma-du-tum lá-pu-tù-ni na-áš-pè-er-tám lá nu-ša-áš-me-ma ni-ip-nu-šu-ma um-ma né-nu-ma i li-bi-kà-ma x ra ší um i-ba-ší ú na-áš-pé-er-tí-kà a-ṣé-er a-we-lim li-li-ik na-áš-pè-er-tám x x x lá i-mu-a um-ma né-nu-ma na-áš-pé-er-tám x li-tám IGI be x x a-mur ma lá i-li-bi₄-x i-ba ma kà i x na-áš-pé-er-tí-ni za-ku-tum a-ṣé-er en-um-a-šur li-li-ik 16.83333 ma-na NA₄.ZA.GÌN 20 GÚ 50 ma-na URUDU ma-sí-am 30 GÚ URUDU lá-mu-nam mì-ma a-nim IGI a-lu-lá-a ú ar-ší-aḫ ú-kà-in a-dí a-ni-tim a-mur-IŠTAR KÙ.BABBAR-ma ri-iš tí-ir-tí-ku-nu ú-kà-al um-ma né-nu-ma ma-ma-an i-na um-me-a-ni-ku-nu lu tí x tám i-na ša-am-ší ša ṭup-pì-ni ta-ša-me-ú qá-qá-dí-kà ki-a-ma x x a-ma a-tal-kam i-x-x lá ša ša-lá-at ṭup-x x x-ma en-um-a-šur li-li-kam-ma iš-tí a x a ú a lá ša ša ki ú 2.5 ma-na.TA x x-šu-ni ki-am x,"From Alulaya and Amur-Ištar to Ennam-Aššur: You have sent us a missive. Since many men were noted down, we have not let anyone hear the missive, but we confronted him and said: ... is in your possession and let your missive go to the man."" He refused to ... the missive. We then said: ""The missive ... witnessed by... Our final missive shall go to Ennam-Aššur."" 16.83333 minas of lapis lazuli, 20 talents 50 minas of washed copper and 30 talents of bad copper - all this he confirmed with Alulaya and Arši-ah as witnesses. Concerning this Amur-Ištar keeps the silver in accordance with your instructions. We said: ""Who among your investors ...?"" The very day you hear our letter ... your head in this way and come... Ennam-Aššur should come and with...""",lexicon_variant
a-na šu-IŠTAR qí-bi-ma um-ma zu-ba ma-ta-ga-x ú (d)UTU-ba-ni-ma a-šu-mì ša-áp-tim ša ta-áš-pu-ra-ni eṭ-lu-tum i-ma-qú-tù-ni-ma ša-áp-tám iš-té-ni-iš₆ ni-dá-an-ma KÙ.BABBAR ni-zu-wa-azₓ KI i-x x x a-na pu-šu-ki-in nu-šé-ba-lam a šu-mì É-be-et DAM.GÀR-ri-im ša sà-im qá-áb-a-tí-ni a-na-kam iš-tí ir-ma-a-šur a-ta-am-ga-ar um-ma šu-ut-ma té-er-tù-šu a-ṣé-er i-ku-pì-a-šur ú i-a-tí li-li-kam-ma la-dí-na-ku-um xx x ki-ma ak-lá-ku-kà-ni xxxx gi₅-im-lá-ni … xxxx ša ma-ma-a x da-mì iq-tám a-na x ša-áp-tám xxx a-na ší-tí xxx šé-bi₄-lam,"Say to Šu-Ištar, thus Zuba, Mataga..., and Šamaš-bāni: As for the wool about which you wrote, when the men arrive here we will sell all the wool together and we will divide the silver and with ... ... we will send it to Pūšu-kēn. As for calling at a merchant's house (for a loan), as you have promised, I have here now come to an agreement with Ir'am-Aššur and he said: 'Let his instruction come to Ikūn-pī-Aššur and to me, then I will give it to you'. ... ... ... since I ? you ... ... ... ... ... do me a favor ... ... ... ... ... ... ... ... ... ... [... ... wool?] of Mamma ... ... ... ... ... ... ... the wool ... ... ... ... ... for the rest of ... ... ... ... ... ... send to me.""""",none
an-na šu-IŠTAR qí-bi-ma um-ma zu-ba ma-ta-ga-x ú (d)UTU-ba-ni-ma a-šu-mì ša-áp-tim ša ta-áš-pu-ra-ni eṭ-lu-tum i-ma-qú-tù-ni-ma ša-áp-tám iš-té-ni-iš₆ ni-dá-an-ma KÙ.BABBAR ni-zu-wa-azₓ KI i-x x x a-na pu-šu-ki-in nu-šé-ba-lam a šu-mì É-be-et DAM.GÀR-ri-im ša sà-im qá-áb-a-tí-ni a-na-kam iš-tí ir-ma-a-šur a-ta-am-ga-ar um-ma šu-ut-ma té-er-tù-šu a-ṣé-er i-ku-pì-a-šur ú i-a-tí li-li-kam-ma la-dí-na-ku-um xx x ki-ma ak-lá-ku-kà-ni xxxx gi₅-im-lá-ni … xxxx ša ma-ma-a x da-mì iq-tám a-na x ša-áp-tám xxx a-na ší-tí xxx šé-bi₄-lam,"Say to Šu-Ištar, thus Zuba, Mataga..., and Šamaš-bāni: As for the wool about which you wrote, when the men arrive here we will sell all the wool together and we will divide the silver and with ... ... we will send it to Pūšu-kēn. As for calling at a merchant's house (for a loan), as you have promised, I have here now come to an agreement with Ir'am-Aššur and he said: 'Let his instruction come to Ikūn-pī-Aššur and to me, then I will give it to you'. ... ... ... since I ? you ... ... ... ... ... do me a favor ... ... ... ... ... ... ... ... ... ... [... ... wool?] of Mamma ... ... ... ... ... ... ... the wool ... ... ... ... ... for the rest of ... ... ... ... ... ... send to me.""""",lexicon_variant
